"","Segment","Balance","QualMiles","BonusMiles","BonusTrans","FlightMiles","FlightTrans","DaysSinceEnroll"
"1",1,28143,0,174,1,0,0,7000
"2",1,19244,0,215,2,0,0,6968
"3",1,41354,0,4123,4,0,0,7034
"4",1,14776,0,500,1,0,0,6952
"5",2,97752,0,43300,26,2077,4,6935
"6",1,16420,0,0,0,0,0,6942
"7",3,84914,0,27482,25,0,0,6994
"8",1,20856,0,5250,4,250,1,6938
"9",1,443003,0,1753,43,3850,12,6948
"10",3,104860,0,28426,28,1150,3,6931
"11",1,40091,0,7278,10,0,0,6959
"12",2,96522,0,61105,19,0,0,6924
"13",4,43382,0,11150,20,0,0,6924
"14",1,43097,0,3258,6,0,0,6918
"15",1,17648,0,0,0,0,0,6912
"16",2,28495,0,49442,15,0,0,6912
"17",2,51890,0,48963,16,0,0,6910
"18",1,13958,0,4291,5,0,0,6905
"19",3,91473,0,27408,17,0,0,6903
"20",4,23354,0,10447,5,0,0,6896
"21",2,120576,0,58831,23,250,2,6896
"22",4,185681,2024,13300,16,1800,9,6896
"23",1,20584,0,3450,11,3450,11,6884
"24",1,66275,0,2533,11,150,1,6884
"25",1,205651,500,4025,21,700,4,7932
"26",1,20726,0,1375,4,0,0,7924
"27",1,18521,0,1227,2,1227,2,7917
"28",1,8828,0,0,0,0,0,7914
"29",3,59763,0,33772,20,100,1,7907
"30",1,19221,0,4655,8,500,1,7896
"31",3,177926,0,20797,13,0,0,7886
"32",1,10021,0,0,0,0,0,7879
"33",3,276571,0,42044,23,0,0,7872
"34",1,18047,0,100,1,0,0,7868
"35",1,43832,0,0,0,0,0,7865
"36",2,123759,0,50572,23,2500,5,7865
"37",1,23193,0,650,4,550,3,7861
"38",1,68666,0,350,2,350,2,7861
"39",3,59990,0,27878,17,0,0,7854
"40",1,2176,0,0,0,0,0,7847
"41",1,34616,0,1750,4,500,1,7850
"42",3,10470,0,38094,26,0,0,7840
"43",1,60313,0,10000,26,3250,9,7829
"44",4,619393,0,15008,14,0,0,7819
"45",4,121260,0,18493,18,0,0,7808
"46",3,288865,967,23600,14,2000,4,6884
"47",4,92336,0,11214,6,0,0,6884
"48",1,36924,0,5900,6,300,2,6879
"49",3,70312,0,34678,24,500,1,6875
"50",1,17051,0,1150,4,1150,4,6868
"51",1,108137,0,6368,5,6368,5,6844
"52",1,1300,0,370,1,0,0,6868
"53",2,118531,0,44577,38,0,0,6868
"54",1,121395,0,4970,8,650,2,6889
"55",1,38348,0,0,0,0,0,6861
"56",1,14448,0,1625,6,0,0,6856
"57",3,75971,0,34339,14,0,0,6869
"58",1,36298,0,3100,5,600,3,6865
"59",3,38077,0,34024,8,0,0,6837
"60",3,95118,0,23188,23,2200,7,6865
"61",4,134457,0,15588,14,0,0,6861
"62",4,19918,0,17601,11,0,0,6863
"63",1,10120,0,0,0,0,0,6864
"64",3,362642,0,28079,8,0,0,6835
"65",1,80250,0,895,2,0,0,6833
"66",3,53914,0,33767,45,5550,29,6826
"67",1,9375,0,1750,7,0,0,6826
"68",3,83237,0,35287,18,0,0,6837
"69",3,230715,0,24047,12,0,0,6826
"70",4,47457,0,12621,16,0,0,7766
"71",4,84409,5031,15436,16,1150,4,7766
"72",3,252386,0,39787,13,0,0,7787
"73",4,550367,0,12500,13,50,1,7801
"74",1,12646,0,631,4,631,4,7787
"75",3,123867,0,25308,17,0,0,7759
"76",4,129871,0,15776,22,0,0,7752
"77",4,109380,0,7537,16,0,0,7749
"78",3,111157,0,32883,19,0,0,7771
"79",3,49238,0,38037,18,0,0,7801
"80",2,38896,0,76988,16,556,1,7771
"81",3,4340,0,32685,5,0,0,7733
"82",1,88443,0,1200,3,1200,3,6837
"83",1,8454,0,498,9,0,0,6821
"84",1,61990,0,1625,6,0,0,6833
"85",1,24093,0,1750,7,0,0,6819
"86",2,35418,0,58557,18,900,3,6813
"87",4,40284,0,7719,5,0,0,6827
"88",3,609477,0,21422,22,1200,8,6820
"89",4,62553,0,7672,16,700,1,6819
"90",1,48433,0,3500,4,500,1,6807
"91",3,20508,0,22250,8,1250,5,6794
"92",1,2000,0,2000,4,2000,4,6809
"93",3,78629,0,36679,25,0,0,6817
"94",1,143566,0,5000,5,1500,3,6785
"95",2,185549,0,110859,39,2950,16,6778
"96",1,16796,0,2875,16,0,0,6773
"97",1,57346,0,5560,23,0,0,6766
"98",2,102062,0,44247,16,0,0,6758
"99",1,22324,0,1375,4,0,0,6753
"100",3,64824,0,20184,13,0,0,6770
"101",2,25076,1182,57203,14,0,0,6750
"102",1,8053,0,0,0,0,0,6750
"103",1,35119,0,0,0,0,0,6749
"104",1,28667,0,3861,7,2050,5,6749
"105",1,34327,0,0,0,0,0,6745
"106",2,3734,0,61096,18,150,2,6760
"107",2,96627,1182,49059,26,2300,9,6738
"108",1,43498,0,0,0,0,0,6759
"109",2,84674,0,46335,14,50,1,6738
"110",3,15098,0,32917,26,550,3,6737
"111",4,181019,0,18415,15,0,0,7714
"112",1,298911,0,8550,11,2550,8,7714
"113",2,124198,0,66330,23,4833,10,7710
"114",1,56906,0,2015,13,0,0,7707
"115",1,295638,0,5422,20,818,2,7700
"116",3,67018,0,23260,25,0,0,7698
"117",1,143967,0,7346,11,0,0,7689
"118",1,969559,0,2500,3,1000,2,7718
"119",3,122705,0,24222,15,0,0,7682
"120",1,16583,0,2625,7,0,0,7682
